case,PMI,Musly_simi
0,21,57
1,59,79
2,53,73
3,26,29
4,33,17
5,13,85
6,24,52
7,24,5
8,85,11
9,30,81
10,26,81
11,28,34
12,92,20
13,32,71
14,0,7
15,41,33
16,58,0
17,45,89
18,35,48
19,71,32
20,30,11
21,47,73
22,45,19
23,40,35
24,67,72
25,29,9
26,53,33
27,80,72
28,65,65
29,37,14
30,63,8
31,51,14
32,58,43
33,67,7
34,34,96
35,29,49
36,45,73
37,100,70
38,64,11
39,25,31
